date,8841431.WI_成交额
2018-03-19,11494787020.0
2018-03-20,13278213130.0
2018-03-21,15571292090.0
2018-03-22,15360168900.0
2018-03-23,19191653310.0
2018-03-26,12822058200.0
2018-03-27,15528458930.0
2018-03-28,14733990000.0
2018-03-29,15115569110.0
2018-03-30,17039701340.0
2018-04-02,18883934670.0
2018-04-03,17368798230.0
2018-04-04,17988829740.0
2018-04-09,15934103130.0
2018-04-10,17209944030.0
2018-04-11,17580692360.0
2018-04-12,17172087270.0
2018-04-13,13979549540.0
2018-04-16,12277968160.0
2018-04-17,12166108680.0
2018-04-18,11901807760.0
2018-04-19,10650144880.0
2018-04-20,11050200510.0
2018-04-23,9108522400.0
2018-04-24,11201885160.0
2018-04-25,12150599110.0
2018-04-26,12089377360.0
2018-04-27,10460349380.0
2018-05-02,9857736290.0
2018-05-03,11337378420.0
2018-05-04,11499893640.0
2018-05-07,14087242280.0
2018-05-08,16164927080.0
2018-05-09,15743782950.0
2018-05-10,16569420620.0
2018-05-11,15261977610.0
2018-05-14,12470524720.0
2018-05-15,13536554620.0
2018-05-16,13816391180.0
2018-05-17,13481282960.0
2018-05-18,13967898540.0
2018-05-21,15512475090.0
2018-05-22,16850510510.000002
2018-05-23,16072849020.0
2018-05-24,13467873940.0
2018-05-25,15478196610.0
2018-05-28,12764640350.0
2018-05-29,14194779610.0
2018-05-30,17117103469.999998
2018-05-31,13514442260.0
2018-06-01,13367955570.0
2018-06-04,10255105420.0
2018-06-05,11569268070.0
2018-06-06,11072480180.0
2018-06-07,11483218400.0
2018-06-08,10348794880.0
2018-06-11,9051631570.0
2018-06-12,10339921920.0
2018-06-13,10081702710.0
2018-06-14,8951130820.0
2018-06-15,11228779500.0
2018-06-19,12286698400.0
2018-06-20,9049111370.0
2018-06-21,9267452560.0
2018-06-22,7965013710.0
2018-06-25,8228893200.0
2018-06-26,8699497250.0
2018-06-27,8413678990.0
2018-06-28,8201537250.0
2018-06-29,10527503710.0
2018-07-02,10167127890.0
2018-07-03,9262848230.0
2018-07-04,8761610820.0
2018-07-05,8675426400.0
2018-07-06,9252728520.0
2018-07-09,7704513790.0
2018-07-10,8772965910.0
2018-07-11,9391667600.0
2018-07-12,10160553700.0
2018-07-13,9117511890.0
2018-07-16,8693329830.0
2018-07-17,9088101150.0
2018-07-18,11230173270.0
2018-07-19,9776684220.0
2018-07-20,9192355770.0
2018-07-23,10369886240.0
2018-07-24,12697078370.0
2018-07-25,12162097420.0
2018-07-26,14548128190.0
2018-07-27,12722948490.0
2018-07-30,10914633480.0
2018-07-31,9085585460.0
2018-08-01,10448705690.0
2018-08-02,12033339100.0
2018-08-03,8214838350.0
2018-08-06,8312545360.0
2018-08-07,8709074170.0
2018-08-08,9266370350.0
2018-08-09,9963848850.0
2018-08-10,8984315130.0
2018-08-13,8143767880.0
2018-08-14,8411885140.000001
2018-08-15,8545149869.999999
2018-08-16,7914021120.0
2018-08-17,7791647610.0
2018-08-20,6564107680.0
2018-08-21,6667637610.0
2018-08-22,6260654240.0
2018-08-23,6571762420.0
2018-08-24,6231631790.0
2018-08-27,7354302810.0
2018-08-28,7392083940.0
2018-08-29,6455049810.0
2018-08-30,6968693000.0
2018-08-31,6106734740.0
2018-09-03,6503632880.0
2018-09-04,7565909080.0
2018-09-05,8208783530.0
2018-09-06,7569237860.0
2018-09-07,7959654810.0
2018-09-10,7680476810.0
2018-09-11,7510127390.0
2018-09-12,7392741260.0
2018-09-13,7765236730.0
2018-09-14,7740417020.0
2018-09-17,7004174170.0
2018-09-18,7223935920.0
2018-09-19,9604784050.0
2018-09-20,9006839660.0
2018-09-21,8847928950.0
2018-09-25,7144989360.0
2018-09-26,8312877110.0
2018-09-27,8804160800.0
2018-09-28,7400259860.0
2018-10-08,7186809940.0
2018-10-09,5971546670.0
2018-10-10,6816118860.0
2018-10-11,9950680990.0
2018-10-12,8206240340.0
2018-10-15,6486036880.0
2018-10-16,6601976980.0
2018-10-17,6962495410.0
2018-10-18,7317259410.0
2018-10-19,7327205240.0
2018-10-22,10744676570.0
2018-10-23,10539605960.0
2018-10-24,10482286010.0
2018-10-25,9299020750.0
2018-10-26,8701663180.0
2018-10-29,7699371740.0
2018-10-30,9019324350.0
2018-10-31,10313147130.0
2018-11-01,12436299910.0
2018-11-02,13164399910.0
2018-11-05,15242059820.0
2018-11-06,11956081440.0
2018-11-07,12920566390.0
2018-11-08,13772683440.0
2018-11-09,11584195170.0
2018-11-12,14717862580.0
2018-11-13,19849891470.0
2018-11-14,17468177550.0
2018-11-15,19070597900.0
2018-11-16,19368523120.0
2018-11-19,16852432440.000002
2018-11-20,14933628080.0
2018-11-21,12566170120.0
2018-11-22,12335477220.0
2018-11-23,13881279660.0
2018-11-26,8857376370.0
2018-11-27,9045237450.0
2018-11-28,10085770370.0
2018-11-29,11470926580.0
2018-11-30,10066460860.0
2018-12-03,12122981620.0
2018-12-04,12118001460.0
2018-12-05,11347937100.0
2018-12-06,10000982660.0
2018-12-07,9011230640.0
2018-12-10,8567555550.000001
2018-12-11,7956758430.0
2018-12-12,8311405850.0
2018-12-13,10314599860.0
2018-12-14,10707413670.0
2018-12-17,8001893070.0
2018-12-18,7833988400.0
2018-12-19,8016428950.0
2018-12-20,7997086270.0
2018-12-21,7666338980.0
2018-12-24,8303131500.0
2018-12-25,10263068050.0
2018-12-26,9047826480.0
2018-12-27,9416414920.0
2018-12-28,7188806770.0
2019-01-02,6443144290.0
2019-01-03,7725005310.0
2019-01-04,9423364520.0
2019-01-07,11084039670.0
2019-01-08,10078319900.0
2019-01-09,11711042320.0
2019-01-10,10158572280.0
2019-01-11,9411013150.0
2019-01-14,9528672810.0
2019-01-15,9417213820.0
2019-01-16,9619104210.0
2019-01-17,9263157440.0
2019-01-18,8072347540.0
2019-01-21,7847885000.0
2019-01-22,7753390590.0
2019-01-23,7677603890.0
2019-01-24,8449830460.000001
2019-01-25,9005245600.0
2019-01-28,8157670300.0
2019-01-29,8359864500.0
2019-01-30,6219598370.0
2019-01-31,8482696539.999999
2019-02-01,6297238660.0
2019-02-11,6819762220.0
2019-02-12,8735278050.0
2019-02-13,11044306860.0
2019-02-14,10322450280.0
2019-02-15,10713957390.0
2019-02-18,14716186180.0
2019-02-19,16894961629.999998
2019-02-20,14461391770.0
2019-02-21,17181853290.0
2019-02-22,16003837950.0
2019-02-25,24902238930.0
2019-02-26,25806432860.0
2019-02-27,20266080960.0
2019-02-28,16804558280.000002
2019-03-01,16582018780.0
2019-03-04,25183596150.0
2019-03-05,24561447560.0
2019-03-06,29340198390.0
2019-03-07,31483096370.0
2019-03-08,28026890380.0
2019-03-11,22384829410.0
2019-03-12,30943299910.0
2019-03-13,27554479890.0
2019-03-14,21251100780.0
2019-03-15,19336837080.0
2019-03-18,19982385690.0
2019-03-19,20872512290.0
2019-03-20,22607242650.0
2019-03-21,25732972110.0
2019-03-22,24679712760.0
2019-03-25,22486240270.0
2019-03-26,21600137300.0
2019-03-27,18617849130.0
2019-03-28,18670965450.0
2019-03-29,19811589430.0
2019-04-01,27074205930.0
2019-04-02,26178456220.0
2019-04-03,24560399540.0
2019-04-04,25932784970.0
2019-04-08,27005825210.0
2019-04-09,24031779590.0
2019-04-10,24622526900.0
2019-04-11,23428317480.0
2019-04-12,19775170570.0
2019-04-15,21367273860.0
2019-04-16,20475902100.0
2019-04-17,23549103430.0
2019-04-18,21458488780.0
2019-04-19,20066474540.0
2019-04-22,21113985770.0
2019-04-23,20164429210.0
2019-04-24,16538771900.0
2019-04-25,20267126510.0
2019-04-26,15240465790.0
2019-04-29,15556372340.0
2019-04-30,11395507390.0
2019-05-06,14892361950.0
2019-05-07,10920160620.0
2019-05-08,11458982700.0
2019-05-09,10922216620.0
2019-05-10,14908863040.0
2019-05-13,13302819090.0
2019-05-14,12165414630.0
2019-05-15,13633263370.0
2019-05-16,13239434020.0
2019-05-17,16745266650.0
2019-05-20,11530461340.0
2019-05-21,12683773240.0
2019-05-22,13162683910.0
2019-05-23,13517855830.0
2019-05-24,10502007810.0
2019-05-27,11824644180.0
2019-05-28,13033391930.0
2019-05-29,11902009030.0
2019-05-30,12670628250.0
2019-05-31,11589874560.0
2019-06-03,12289259100.0
2019-06-04,10528993950.0
2019-06-05,10578935440.0
2019-06-06,10276298120.0
2019-06-10,8879059200.0
2019-06-11,12912061830.0
2019-06-12,12418354830.0
2019-06-13,12667799160.0
2019-06-14,11802221930.0
2019-06-17,9721709170.0
2019-06-18,9775482620.0
2019-06-19,12908970210.0
2019-06-20,13726783490.0
2019-06-21,20360956210.0
2019-06-24,17677092430.0
2019-06-25,16381018350.0
2019-06-26,13342724580.0
2019-06-27,14560764370.0
2019-06-28,14182109970.0
2019-07-01,16095666740.0
2019-07-02,15048469340.0
2019-07-03,12714559390.0
2019-07-04,10692755490.0
2019-07-05,9882109120.0
2019-07-08,12840225470.0
2019-07-09,9109366050.0
2019-07-10,9433894770.0
2019-07-11,10014025400.0
2019-07-12,9175621650.0
2019-07-15,11525599720.0
2019-07-16,10319327860.0
2019-07-17,10676439820.0
2019-07-18,10050178980.0
2019-07-19,9522726580.0
2019-07-22,10245109250.0
2019-07-23,9195215450.0
2019-07-24,10733541430.0
2019-07-25,9779395970.0
2019-07-26,8499641430.0
2019-07-29,8295626810.0
2019-07-30,9639161730.0
2019-07-31,9668550640.0
2019-08-01,9911578890.0
2019-08-02,10964149050.0
2019-08-05,8559266699.999999
2019-08-06,11524363220.0
2019-08-07,7467744940.0
2019-08-08,6634520070.0
2019-08-09,7401285220.0
2019-08-12,7181896790.0
2019-08-13,6677382440.0
2019-08-14,7448670510.0
2019-08-15,7846644620.0
2019-08-16,7722520760.0
2019-08-19,11184499760.0
2019-08-20,12395800630.0
2019-08-21,9603618880.0
2019-08-22,9985618400.0
2019-08-23,10810044110.0
2019-08-26,9366061680.0
2019-08-27,11500610990.0
2019-08-28,11587212890.0
2019-08-29,11359188380.0
2019-08-30,11719158310.0
2019-09-02,11437046720.0
2019-09-03,11738280390.0
