date,932000.CSI_均线_120日
2017-01-11,2947.026650833333
2017-01-12,2947.9125408333334
2017-01-13,2948.136995833333
2017-01-16,2947.152686666667
2017-01-17,2946.432046666667
2017-01-18,2945.8347675
2017-01-19,2945.0606575
2017-01-20,2944.4181424999997
2017-01-23,2945.261123333333
2017-01-24,2946.121188333333
2017-01-25,2947.178559166666
2017-01-26,2948.7662241666667
2017-02-03,2950.058206666667
2017-02-06,2951.539755
2017-02-07,2952.9494683333332
2017-02-08,2954.7282308333333
2017-02-09,2956.5809666666664
2017-02-10,2958.0976183333332
2017-02-13,2959.797638333333
2017-02-14,2961.8178216666665
2017-02-15,2963.4118683333336
2017-02-16,2964.7081366666666
2017-02-17,2965.5333383333336
2017-02-20,2966.3558741666666
2017-02-21,2967.34583
2017-02-22,2968.4126016666664
2017-02-23,2969.7113191666667
2017-02-24,2970.9990749999997
2017-02-27,2971.9665483333333
2017-02-28,2973.140705
2017-03-01,2974.27132
2017-03-02,2975.1674141666667
2017-03-03,2976.10252
2017-03-06,2977.2828866666664
2017-03-07,2978.6886566666667
2017-03-08,2980.1260208333333
2017-03-09,2981.2761258333335
2017-03-10,2982.0540825
2017-03-13,2982.916325
2017-03-14,2983.6593908333334
2017-03-15,2984.472558333334
2017-03-16,2986.270214166667
2017-03-17,2987.6204941666665
2017-03-20,2989.1715191666667
2017-03-21,2990.4994500000003
2017-03-22,2991.6180299999996
2017-03-23,2992.647115833334
2017-03-24,2993.5176675
2017-03-27,2994.3910691666665
2017-03-28,2995.7550991666662
2017-03-29,2996.722926666667
2017-03-30,2997.0833975
2017-03-31,2997.371023333333
2017-04-05,2997.9497225
2017-04-06,2998.0979691666666
2017-04-07,2997.9943483333336
2017-04-10,2997.4786825
2017-04-11,2996.977293333333
2017-04-12,2996.2209675
2017-04-13,2995.7600258333337
2017-04-14,2994.4515316666666
2017-04-17,2992.618133333334
2017-04-18,2990.4367425
2017-04-19,2988.0116274999996
2017-04-20,2985.2487175
2017-04-21,2982.2164391666665
2017-04-24,2978.482270833333
2017-04-25,2974.7654008333334
2017-04-26,2971.4051133333337
2017-04-27,2968.186535833333
