date,000905.SH_成交额
2016-10-10,87775587398.0
2016-10-11,89907667464.0
2016-10-12,77595765779.0
2016-10-13,78494098696.0
2016-10-14,75444317293.0
2016-10-17,83743641999.0
2016-10-18,86044533819.0
2016-10-19,87276975360.0
2016-10-20,75634634720.0
2016-10-21,83617171253.0
2016-10-24,93119437037.0
2016-10-25,94315371654.0
2016-10-26,91780594799.0
2016-10-27,76662910799.0
2016-10-28,79712066802.0
2016-10-31,71768415874.0
2016-11-01,72251174359.0
2016-11-02,82898303275.0
2016-11-03,88683292154.0
2016-11-04,81640501576.0
2016-11-07,76326265918.0
2016-11-08,78508137415.0
2016-11-09,96517280987.0
2016-11-10,96157565168.0
2016-11-11,117683140548.0
2016-11-14,129072810284.0
2016-11-15,107784604579.0
2016-11-16,102794053203.0
2016-11-17,87728988756.0
2016-11-18,86902679609.0
2016-11-21,90652603587.0
2016-11-22,101984600257.0
2016-11-23,103904384971.0
2016-11-24,104720238937.0
2016-11-25,100029174595.0
2016-11-28,106722283957.0
2016-11-29,112700270233.0
2016-11-30,91354956779.0
2016-12-01,87662536456.0
2016-12-02,91203225960.0
2016-12-05,75623703982.0
2016-12-06,61621652399.0
2016-12-07,67819689394.99999
2016-12-08,67589603421.0
2016-12-09,71500666286.0
2016-12-12,107463242985.0
2016-12-13,75946019132.0
2016-12-14,81065251163.0
2016-12-15,75209830320.0
2016-12-16,71330845123.0
2016-12-19,70180562733.0
2016-12-20,65544588691.0
2016-12-21,70594550290.0
2016-12-22,64478216465.0
2016-12-23,64218562488.0
2016-12-26,60864353719.0
2016-12-27,56430287095.0
2016-12-28,54961473637.0
2016-12-29,51113318088.0
2016-12-30,54554271036.0
2017-01-03,57302999275.0
2017-01-04,78531887327.0
2017-01-05,72267790981.0
2017-01-06,73723002444.0
2017-01-09,74310358181.0
2017-01-10,76722142933.0
2017-01-11,68331890908.99999
2017-01-12,57259476375.0
2017-01-13,58444907279.0
2017-01-16,82148409479.0
2017-01-17,54018905762.0
2017-01-18,48404585975.0
2017-01-19,45854100379.0
2017-01-20,49013086160.0
2017-01-23,52727412759.0
2017-01-24,49571128604.0
2017-01-25,43740185010.0
2017-01-26,41944886987.0
2017-02-03,37929189875.0
2017-02-06,50034776941.0
2017-02-07,53950802890.0
2017-02-08,57742142041.0
2017-02-09,74903715864.0
2017-02-10,87202785397.0
2017-02-13,84625077163.0
2017-02-14,75879186213.0
2017-02-15,84745249693.0
2017-02-16,75785517261.0
2017-02-17,80705736069.0
2017-02-20,80325702731.0
2017-02-21,86222033428.0
2017-02-22,95597767122.0
2017-02-23,99277240144.0
2017-02-24,85426215440.0
2017-02-27,81011815135.0
2017-02-28,71170206500.0
2017-03-01,83177653149.0
2017-03-02,84092921492.0
2017-03-03,78891589125.0
2017-03-06,83853156141.0
2017-03-07,82330583705.0
2017-03-08,75049470141.0
2017-03-09,73949329067.0
2017-03-10,69999414897.0
2017-03-13,81201111069.0
2017-03-14,74548113277.0
2017-03-15,69104007281.0
2017-03-16,84809251031.0
2017-03-17,89911150469.0
2017-03-20,76363964979.0
2017-03-21,75784024757.0
2017-03-22,88332148328.0
2017-03-23,95665083643.0
2017-03-24,99764242487.0
2017-03-27,91609824450.0
2017-03-28,74546542337.0
2017-03-29,94145712453.0
2017-03-30,102559153021.0
2017-03-31,81869918412.0
2017-04-05,110261623595.0
2017-04-06,106538080097.0
2017-04-07,115145780026.0
2017-04-10,117949775725.0
2017-04-11,148200620589.0
2017-04-12,125634063396.0
2017-04-13,95722060561.0
2017-04-14,107518934105.0
2017-04-17,99323748147.0
2017-04-18,91417770877.0
2017-04-19,95577254209.0
2017-04-20,92055492681.0
2017-04-21,72187532636.0
2017-04-24,78586553277.0
2017-04-25,73714024619.0
2017-04-26,81432873560.0
2017-04-27,101691925177.0
2017-04-28,76705995604.0
2017-05-02,83553106435.0
2017-05-03,85574278198.0
2017-05-04,89915586361.0
2017-05-05,81292488330.0
2017-05-08,76311198234.0
2017-05-09,62722952719.0
2017-05-10,71467192554.0
2017-05-11,77588395749.0
2017-05-12,62606811862.0
2017-05-15,58911836309.0
2017-05-16,84036099309.0
2017-05-17,84588690909.0
2017-05-18,70971740790.0
2017-05-19,64668962901.0
2017-05-22,66101128000.0
2017-05-23,70779450169.0
