date,000852.SH_动量_120日
2020-05-14,13.157294726797053
2020-05-15,12.907398678579508
2020-05-18,13.730621127498143
2020-05-19,14.399620052768803
2020-05-20,10.966252028319756
2020-05-21,10.118329990569208
2020-05-22,8.252882253962103
2020-05-25,9.47408887899741
2020-05-26,12.757390832307781
2020-05-27,12.128756137513253
2020-05-28,11.91146581390825
2020-05-29,13.355189084724529
2020-06-01,16.915074911228945
2020-06-02,16.837081593648318
2020-06-03,15.920032737253731
2020-06-04,15.967552062530931
2020-06-05,14.837302058662093
2020-06-08,13.760218964999371
2020-06-09,14.129467804082573
2020-06-10,13.573265378994503
2020-06-11,13.620036050945306
2020-06-12,13.700786543577447
2020-06-15,12.146241710692006
2020-06-16,12.318760799274276
2020-06-17,11.405817659787697
2020-06-18,10.922176483331691
2020-06-19,11.116785884194513
2020-06-22,13.212832026714372
2020-06-23,16.027459627905948
2020-06-24,13.81342197212243
2020-06-29,12.843585899963106
2020-06-30,13.996004411739005
2020-07-01,15.283769807097203
2020-07-02,15.984747258682507
2020-07-03,16.369956851342526
2020-07-06,18.48722973476584
2020-07-07,19.48497486121643
2020-07-08,20.976916295903635
2020-07-09,22.72272716469008
2020-07-10,23.871048224000724
2020-07-13,26.242425179804684
2020-07-14,25.51473260070658
2020-07-15,20.327279723014513
2020-07-16,14.271407829518857
2020-07-17,14.526280295418047
2020-07-20,18.66334804654819
2020-07-21,20.05946648985535
2020-07-22,19.659579959034513
2020-07-23,20.634387604027182
2020-07-24,14.613311705698372
2020-07-27,19.082630569251833
2020-07-28,31.879394766594203
2020-07-29,35.4642984593542
2020-07-30,31.797534293252227
2020-07-31,29.47891043889712
2020-08-03,32.053641779745675
2020-08-04,29.40225984627105
2020-08-05,32.079806893462084
2020-08-06,29.169847572172515
2020-08-07,28.598675021146637
2020-08-10,28.475585977242247
2020-08-11,21.510422324653632
2020-08-12,16.80054717625672
2020-08-13,18.209870455556974
2020-08-14,17.109615498726207
2020-08-17,17.557761032019602
2020-08-18,16.14043413637156
2020-08-19,13.250644585229665
2020-08-20,14.938133203468107
2020-08-21,15.439205056282091
2020-08-24,23.551037525951422
