date,932000.CSI_成交额
2017-05-09,28955280037.0
2017-05-10,32420231313.0
2017-05-11,35214013013.0
2017-05-12,29540456736.0
2017-05-15,28820354610.0
2017-05-16,39332809873.0
2017-05-17,43904235820.0
2017-05-18,35353285153.0
2017-05-19,28919100589.0
2017-05-22,29651501374.0
2017-05-23,31839959777.0
2017-05-24,26029009851.0
2017-05-25,29979971458.0
2017-05-26,26363473051.0
2017-05-31,26198574826.0
2017-06-01,27398595454.0
2017-06-02,26640761906.0
2017-06-05,24614106191.0
2017-06-06,24008531410.0
2017-06-07,37862363174.0
2017-06-08,37378115999.0
2017-06-09,36655328752.0
2017-06-12,53766314490.0
2017-06-13,51305989858.0
2017-06-14,55730047818.0
2017-06-15,63103355537.0
2017-06-16,55744613341.0
2017-06-19,50311968402.0
2017-06-20,57154032717.0
2017-06-21,52895714292.0
2017-06-22,56141294932.0
2017-06-23,48715851713.0
2017-06-26,43823533001.0
2017-06-27,46450053824.0
2017-06-28,42778100668.0
2017-06-29,40023730843.0
2017-06-30,38458271295.0
2017-07-03,39432858103.0
2017-07-04,40824460374.0
2017-07-05,45055994273.0
2017-07-06,55193558427.0
2017-07-07,60112442962.0
2017-07-10,61084154331.0
2017-07-11,52213426441.0
2017-07-12,50591649245.0
2017-07-13,46222588430.0
2017-07-14,44554476879.0
2017-07-17,60889477916.0
2017-07-18,43389357624.0
2017-07-19,48249974355.0
2017-07-20,51116998324.0
2017-07-21,44005935832.0
2017-07-24,49467543991.0
2017-07-25,43175553358.0
2017-07-26,43844551983.0
2017-07-27,58042504403.0
2017-07-28,47637843253.0
2017-07-31,52245367875.0
2017-08-01,53258594478.0
2017-08-02,55932427030.0
2017-08-03,50304746235.0
2017-08-04,52185769431.0
2017-08-07,43065481166.0
2017-08-08,48775641352.0
2017-08-09,46905458311.0
2017-08-10,53496862316.0
2017-08-11,49546446930.0
2017-08-14,45442923736.0
2017-08-15,47201839751.0
2017-08-16,49966440394.0
2017-08-17,52729189752.0
2017-08-18,50877197925.0
2017-08-21,45473060695.0
2017-08-22,47835941702.0
2017-08-23,43922815749.0
2017-08-24,44057050574.0
2017-08-25,45128039758.0
2017-08-28,56039974206.0
2017-08-29,58751593060.0
2017-08-30,54950454964.0
2017-08-31,53457654413.0
2017-09-01,59981606935.0
2017-09-04,63797087014.0
2017-09-05,54804282187.0
2017-09-06,55955739979.0
2017-09-07,67416762084.99999
2017-09-08,59101845354.0
2017-09-11,58839751100.0
2017-09-12,74584674976.0
2017-09-13,56159997333.0
2017-09-14,61407867859.0
2017-09-15,54662706470.0
2017-09-18,47099340281.0
2017-09-19,52609634864.0
2017-09-20,56739303501.0
2017-09-21,59758010569.0
2017-09-22,51584885321.0
2017-09-25,49569307702.0
2017-09-26,44395911713.0
2017-09-27,44856665255.0
2017-09-28,49973044976.0
2017-09-29,48412760516.0
2017-10-09,50371606514.0
2017-10-10,56099502432.0
2017-10-11,64246677135.0
2017-10-12,56213481989.0
2017-10-13,54515253243.0
2017-10-16,61409445151.0
2017-10-17,43493289246.0
2017-10-18,48503563606.0
2017-10-19,44939366298.0
2017-10-20,40694461571.0
2017-10-23,43194002235.0
2017-10-24,42440963742.0
2017-10-25,40420246282.0
2017-10-26,47966056802.0
2017-10-27,44910673393.0
2017-10-30,50912523577.0
2017-10-31,37986830605.0
2017-11-01,42122639344.0
2017-11-02,42491181505.0
2017-11-03,41408117052.0
2017-11-06,40480515789.0
2017-11-07,43715680989.0
2017-11-08,47342709938.0
2017-11-09,44877515635.0
2017-11-10,48421097400.0
2017-11-13,49945734072.0
2017-11-14,50932448677.0
2017-11-15,42508777708.0
2017-11-16,40654001272.0
2017-11-17,50990572543.0
2017-11-20,36220803313.0
2017-11-21,36760374248.0
2017-11-22,35498553027.0
2017-11-23,37228470873.0
2017-11-24,31334592047.0
2017-11-27,29029070990.0
2017-11-28,27816165503.0
2017-11-29,32695911102.0
2017-11-30,31284242310.0
2017-12-01,34818791925.0
2017-12-04,33298245572.0
2017-12-05,38472397441.0
2017-12-06,30535398151.0
2017-12-07,29930256557.0
2017-12-08,31239875584.0
2017-12-11,39149032169.0
2017-12-12,38830296889.0
2017-12-13,34360017575.0
2017-12-14,38654803354.0
2017-12-15,41948612256.0
2017-12-18,38308884400.0
2017-12-19,35016187994.0
2017-12-20,38322065417.0
2017-12-21,40017247811.0
2017-12-22,35136498398.0
2017-12-25,39106935315.0
2017-12-26,39997341670.0
2017-12-27,42618031449.0
2017-12-28,44509671823.0
2017-12-29,39502673054.0
2018-01-02,41891102898.0
2018-01-03,55091519531.0
2018-01-04,53012708967.0
2018-01-05,48507684292.0
2018-01-08,50197618950.0
2018-01-09,45836539824.0
2018-01-10,49440017135.0
