date,000300.SH_年化波动率_60日
2007-05-21,33.70822742442536
2007-05-22,33.677513521626565
2007-05-23,33.532046438276126
2007-05-24,33.26542357784525
2007-05-25,33.3201750681862
2007-05-28,33.443616416799905
2007-05-29,26.04110875568241
2007-05-30,29.960746632141404
2007-05-31,29.08297330843299
2007-06-01,30.126309442456506
2007-06-04,34.610746770453886
2007-06-05,35.00620049372543
2007-06-06,34.76429519133344
2007-06-07,35.15928196909228
2007-06-08,35.073558968610165
2007-06-11,35.24080270503022
2007-06-12,35.4526887387325
2007-06-13,35.220658557215366
2007-06-14,35.33533689262
2007-06-15,35.02513590948564
2007-06-18,35.23426195716584
2007-06-19,35.2316996029178
2007-06-20,35.74924251757715
2007-06-21,35.742977681287734
2007-06-22,36.74243002660263
2007-06-25,38.044206169597494
2007-06-26,38.071533251434445
2007-06-27,38.336640532815416
2007-06-28,39.68801856991944
2007-06-29,40.13399065378236
2007-07-02,39.96230277589266
2007-07-03,40.039708214458955
2007-07-04,40.428114782628086
2007-07-05,42.20118045158318
2007-07-06,43.1299655827623
2007-07-09,43.28579806903995
2007-07-10,43.348479755587775
2007-07-11,43.30579632424844
2007-07-12,43.215533889015454
2007-07-13,43.20430872551334
2007-07-16,43.50622486808578
2007-07-17,43.72071979506618
2007-07-18,43.71590685567939
2007-07-19,42.504535440436825
2007-07-20,42.47504253483284
2007-07-23,42.60110504914714
2007-07-24,42.60278631633191
2007-07-25,42.77405438953816
2007-07-26,42.75836444852777
2007-07-27,42.71212764127665
2007-07-30,42.68365893715569
2007-07-31,42.2265132554272
2007-08-01,43.061866130327736
2007-08-02,43.50270900227533
2007-08-03,43.96311546411736
2007-08-06,44.1199707930226
2007-08-07,43.38680754126336
2007-08-08,43.28217688377467
2007-08-09,43.319621637975914
2007-08-10,43.40974945495519
2007-08-13,43.36538622423393
2007-08-14,43.41397062774617
2007-08-15,43.32356885687097
2007-08-16,43.46931841798826
2007-08-17,43.63331033899927
2007-08-20,44.70716733615252
2007-08-21,44.61852914586782
2007-08-22,42.12188326547666
2007-08-23,42.174640499875935
2007-08-24,41.56432365448673
2007-08-27,37.740429356795126
2007-08-28,37.32208271370471
2007-08-29,37.550755148901054
2007-08-30,37.15887268234997
2007-08-31,37.165127139352165
2007-09-03,37.13787853108112
2007-09-04,37.031740552869515
2007-09-05,36.905952203335325
2007-09-06,36.79321120225595
2007-09-07,37.17868037428911
2007-09-10,36.85595340797579
2007-09-11,38.31543647190524
2007-09-12,38.024415351660224
2007-09-13,38.316793512974954
2007-09-14,37.47078998894658
2007-09-17,36.22516358586122
2007-09-18,36.24835898394657
2007-09-19,36.09060975021842
2007-09-20,34.59481093279987
2007-09-21,34.098527038299444
2007-09-24,34.06235258836539
2007-09-25,34.125256409609456
2007-09-26,33.93209458689669
2007-09-27,31.447192931215568
2007-09-28,30.638252827744445
2007-10-08,30.313846812684563
2007-10-09,30.081409683358846
2007-10-10,30.092596902302617
2007-10-11,30.118526125049964
2007-10-12,30.17347049078541
2007-10-15,29.12278080366411
2007-10-16,28.92038071552736
2007-10-17,29.1032022301395
2007-10-18,30.358230248292163
2007-10-19,29.484505051579568
2007-10-22,29.005126875422356
2007-10-23,29.03660615127453
2007-10-24,28.825412846045367
2007-10-25,30.560531959657528
