time,000905.SH_均线_20日
2016-09-13,6428.07255
2016-09-14,6417.5622
2016-09-19,6410.25085
2016-09-20,6402.37475
2016-09-21,6398.544749999999
2016-09-22,6396.391600000001
2016-09-23,6393.1678
2016-09-26,6386.115100000001
2016-09-27,6379.92385
2016-09-28,6372.6116
2016-09-29,6366.26345
2016-09-30,6360.95725
2016-10-10,6364.268099999999
2016-10-11,6370.74165
2016-10-12,6375.28895
2016-10-13,6374.8819
2016-10-14,6373.6407
2016-10-17,6368.398950000001
2016-10-18,6370.3104
2016-10-19,6380.4914499999995
2016-10-20,6389.401749999999
2016-10-21,6399.2579
2016-10-24,6409.02215
2016-10-25,6420.0882
2016-10-26,6429.42
2016-10-27,6436.0062
2016-10-28,6440.2688
2016-10-31,6450.8033
2016-11-01,6461.85535
2016-11-02,6470.5476499999995
2016-11-03,6479.7947
2016-11-04,6486.52005
2016-11-07,6487.57625
2016-11-08,6488.4139000000005
2016-11-09,6486.9556
2016-11-10,6489.5623
2016-11-11,6495.282
2016-11-14,6505.3749
2016-11-15,6511.9339
2016-11-16,6519.380450000001
2016-11-17,6526.292
2016-11-18,6532.6443
2016-11-21,6536.2480000000005
2016-11-22,6541.1426
2016-11-23,6546.18175
2016-11-24,6551.4662499999995
2016-11-25,6561.3153999999995
2016-11-28,6572.2453000000005
2016-11-29,6577.8875499999995
2016-11-30,6584.409949999999
2016-12-01,6591.44665
2016-12-02,6594.36575
2016-12-05,6595.22575
2016-12-06,6594.611349999999
2016-12-07,6599.834
2016-12-08,6599.35745
2016-12-09,6595.85895
2016-12-12,6577.5625
2016-12-13,6559.448350000001
2016-12-14,6539.2139
2016-12-15,6521.41035
2016-12-16,6507.220200000001
2016-12-19,6492.6798
2016-12-20,6474.6494
2016-12-21,6460.47105
2016-12-22,6446.408
2016-12-23,6427.8669500000005
2016-12-26,6409.0645
2016-12-27,6392.4677
2016-12-28,6376.7008000000005
2016-12-29,6358.1079
2016-12-30,6345.24045
2017-01-03,6336.97775
2017-01-04,6332.1667
2017-01-05,6324.22965
2017-01-06,6316.4388
2017-01-09,6311.5139
2017-01-10,6318.7564
2017-01-11,6321.44565
2017-01-12,6323.11325
2017-01-13,6318.82625
2017-01-16,6304.4621
2017-01-17,6292.5288
2017-01-18,6280.92655
2017-01-19,6265.7300000000005
2017-01-20,6254.7405
2017-01-23,6249.249
2017-01-24,6242.77445
2017-01-25,6237.3099
2017-01-26,6234.9832
2017-02-03,6232.7074
2017-02-06,6232.48845
2017-02-07,6229.24665
2017-02-08,6224.0931
2017-02-09,6220.687749999999
2017-02-10,6218.9623
2017-02-13,6216.67405
2017-02-14,6215.7219
2017-02-15,6214.7085
2017-02-16,6219.03275
2017-02-17,6224.657999999999
2017-02-20,6242.3491
2017-02-21,6259.967699999999
2017-02-22,6280.2493
2017-02-23,6301.7652
2017-02-24,6319.4736
2017-02-27,6332.078
2017-02-28,6346.3633
2017-03-01,6360.76685
2017-03-02,6371.31285
2017-03-03,6383.6002
2017-03-06,6396.5040500000005
2017-03-07,6409.86705
2017-03-08,6420.14155
2017-03-09,6425.5518
2017-03-10,6431.09225
2017-03-13,6438.0044
2017-03-14,6443.9344
2017-03-15,6452.652700000001
2017-03-16,6461.8529499999995
2017-03-17,6470.6571
2017-03-20,6476.3210500000005
2017-03-21,6480.39645
2017-03-22,6481.67485
2017-03-23,6483.58455
2017-03-24,6487.107
2017-03-27,6491.6959
2017-03-28,6494.0819
2017-03-29,6494.7271
2017-03-30,6491.782999999999
2017-03-31,6489.2234499999995
2017-04-05,6490.3556
2017-04-06,6492.1789
2017-04-07,6496.2608
2017-04-10,6502.6188999999995
2017-04-11,6511.68135
2017-04-12,6515.110350000001
2017-04-13,6521.2213
2017-04-14,6523.3263
2017-04-17,6518.989149999999
2017-04-18,6515.7374
2017-04-19,6508.35265
2017-04-20,6499.944
2017-04-21,6489.99
2017-04-24,6471.3059
2017-04-25,6451.9982
2017-04-26,6435.01645
2017-04-27,6419.69715
2017-04-28,6406.263099999999
2017-05-02,6398.28165
2017-05-03,6388.07315
2017-05-04,6369.89005
2017-05-05,6346.39155
2017-05-08,6316.232249999999
2017-05-09,6288.50515
2017-05-10,6251.338900000001
2017-05-11,6216.14705
2017-05-12,6178.551
2017-05-15,6146.8183
2017-05-16,6124.725100000001
2017-05-17,6105.197050000001
2017-05-18,6086.4797
2017-05-19,6067.8399
2017-05-22,6047.2449
2017-05-23,6028.56345
2017-05-24,6010.5029
2017-05-25,5994.2230500000005
2017-05-26,5976.45455
2017-05-31,5957.066650000001
2017-06-01,5931.760850000001
2017-06-02,5910.5127999999995
2017-06-05,5892.487650000001
2017-06-06,5880.079650000001
2017-06-07,5879.053400000001
2017-06-08,5876.40215
2017-06-09,5880.5738
2017-06-12,5882.0846
2017-06-13,5887.8983
2017-06-14,5891.54445
2017-06-15,5891.866
2017-06-16,5891.1335
2017-06-19,5895.1891
2017-06-20,5899.7855
2017-06-21,5909.254500000001
2017-06-22,5920.62745
2017-06-23,5931.18065
2017-06-26,5944.22265
2017-06-27,5958.03425
2017-06-28,5971.1395999999995
2017-06-29,5991.489299999999
2017-06-30,6009.77125
2017-07-03,6027.8508999999995
2017-07-04,6043.1174
2017-07-05,6055.06485
2017-07-06,6067.1987
2017-07-07,6080.0355500000005
2017-07-10,6095.22065
2017-07-11,6102.6675
2017-07-12,6110.99555
2017-07-13,6117.434
2017-07-14,6123.221
2017-07-17,6114.17335
2017-07-18,6107.7498000000005
2017-07-19,6106.80805
2017-07-20,6112.1555
2017-07-21,6117.9452
2017-07-24,6120.71955
2017-07-25,6122.74115
2017-07-26,6125.76575
2017-07-27,6129.11715
2017-07-28,6132.9825
2017-07-31,6139.01275
2017-08-01,6145.9969
2017-08-02,6148.89185
2017-08-03,6151.90755
2017-08-04,6151.862749999999
2017-08-07,6156.70595
2017-08-08,6165.44205
2017-08-09,6175.79355
2017-08-10,6182.7577
2017-08-11,6184.3802000000005
2017-08-14,6205.18935
2017-08-15,6224.0057
2017-08-16,6236.97775
2017-08-17,6250.315250000001
2017-08-18,6261.39765
2017-08-21,6273.23025
2017-08-22,6284.3494
2017-08-23,6293.1533500000005
2017-08-24,6297.8818
2017-08-25,6304.4352
2017-08-28,6310.7644
2017-08-29,6316.84545
2017-08-30,6326.9255
2017-08-31,6337.3484
2017-09-01,6352.4179
2017-09-04,6365.48085
2017-09-05,6378.888000000001
2017-09-06,6392.2428
2017-09-07,6405.71175
2017-09-08,6426.3614
2017-09-11,6444.2107000000005
2017-09-12,6460.67325
2017-09-13,6478.9523
